,Title,Author(s),Number in Series,Series Title,Length of Series,Publication Month,Publication Day,Publication Year,Number of Pages,Genres,Similar Books,Rating,Number of Ratings,Number of 5-Star Ratings,Number of 4-Star Ratings,Number of 3-Star Ratings,Number of 2-Star Ratings,Number of 1-Star Ratings,Number of Reviews,Cover Image Tag,Synopsis
10,An American Tragedy,Theodore Dreiser,,,,December,17,1925,859,"Classics, Fiction, Literature, Historical Fiction, American, Novels, Banned Books, Crime, 20th Century, Classic Literature","Theatre by W. Somerset Maugham,, Appointment in Samarra by John O\'Hara,, The Forsyte Saga (The Forsyte Chronicles, #1-3) by John Galsworthy,, The Big Money (U.S.A., #3) by John Dos Passos,, Three Comrades by Erich Maria Remarque,, Henderson the Rain King by Saul Bellow,, The Ball At Sceaux by Honoré de Balzac,, 1919 (U.S.A., #2) by John Dos Passos,, The 42nd Parallel (U.S.A., #1) by John Dos Passos,, The Missing Piece by Antoine Bello,, The Sorrows of Satan; or, The Strange Experience of One Geoffrey Tempest, Millionaire by Marie Corelli,, Renatus 2 by John A.   Saunders,, Le Docteur Pascal (Les Rougon-Macquart #20) by Émile Zola,, Dead Famous (Kathleen Mallory, #7) by Carol O\'Connell,, Of Human Bondage by W. Somerset Maugham,, Death of a Hero by Richard Aldington",3.95,34968,12756,11900,7088,2178,1046,1453,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309283443l/331319.jpg,"'An American Tragedy' is the story of Clyde Griffiths, who spends his life in the desperate pursuit of success. On a deeper, more profound level, it is the masterful portrayal of the society whose values both shape Clyde's ambitions and seal his fate; it is an unsurpassed depiction of the harsh realities of American life and of the dark side of the American dream. Extraord"
11,And Then There Were None,Agatha Christie,,,,November,6,1939,264,"Mystery, Classics, Fiction, Crime, Thriller, Mystery Thriller, Audiobook, Adult, Suspense, Novels","The Girl with the Dragon Tattoo (Millennium, #1) by Stieg Larsson,, 밀레니엄 1 상: 여자를 증오한 남자들 (Millennium 1: Phase Millennium: The men hate women) by Stieg Larsson,, Gone Girl by Gillian Flynn,, The Girl on the Train by Paula Hawkins,, The New Bedside, Bathtub and Armchair Companion to Agatha Christie by Dick Riley,, A Study in Scarlet (Sherlock Holmes, #1) by Arthur Conan Doyle,, Angels & Demons (Robert Langdon, #1) by Dan Brown,, To Kill a Mockingbird by Harper Lee,, The Great Gatsby by F. Scott Fitzgerald,, 1984 by George Orwell,, Harry Potter and the Sorcerer's Stone (Harry Potter, #1) by J.K. Rowling,, Pride and Prejudice by Jane Austen,, Animal Farm by George Orwell,, Agatha Christie's Secret Notebooks by John  Curran,, The Hunger Games (The Hunger Games, #1) by Suzanne Collins,, The Hound of the Baskervilles (Sherlock Holmes, #5) by Arthur Conan Doyle,, The Shining by Stephen King,, The Picture of Dorian Gray by Oscar Wilde",4.27,1062896,532817,349278,136645,27813,16343,46724,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1638425885l/16299._SY475_.jpg,"First, there were ten—a curious assortment of strangers summoned as weekend guests to a little private island off the coast of Devon. Their host, an eccentric millionaire unknown to all of them, is nowhere to be found. All that the guests have in common is a wicked past they're unwilling to reveal—and a secret that will seal their fate. For each has been marked for murder."
12,The Andy Warhol Diaries,Andy Warhol,,,,,19,1989,1189,"Art, Nonfiction, Biography, Memoir, Pop Culture, Diary, Autobiography, Art History, New York, Biography Memoir","Holy Terror: Andy Warhol Close Up by Bob Colacello,, Superficial: More Adventures from The Andy Cohen Diaries by Andy Cohen,, Wait Until Spring, Bandini (The Saga of Arturo Bandini, #1) by John Fante,, The Secret Life of Salvador Dalí by Salvador Dalí,, Capote by Gerald Clarke,, Nasty Galaxy by Sophia Amoruso,, Live Fast Die Hot by Jenny Mollen,, Sick in the Head: Conversations About Life and Comedy by Judd Apatow,, I Never Met a Story I Didn't Like: Mostly True Tall Tales by Todd Snider,, Rain Will Come by Thomas Holgate,, The Jazz Scene by Eric J. Hobsbawm,, Dignidade! by Esmahan Aykol,, The Second World: Empires and Influence in the New Global Order by Parag Khanna,, El siglo de las luces by Alejo Carpentier,, Lenin - Una Biografia by Francisco Díez del Corral,, The Discovery of America by the Turks by Jorge Amado,, How to Run the World: Charting a Course to the Next Renaissance by Parag Khanna",3.91,2697,917,886,675,164,55,156,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1596052023l/9800581._SY475_.jpg,"'His last great work of art' Nicholas Lezard, Guardian'Cruel, sexy, and sometimes heartbreaking ... Warhol is no neutral observer, but a character in his own right'NewsweekAndy Warhol kept these diaries faithfully from November 1976 right up to his final week, in February 1987. Written at the height of his fame and success, Warhol records the fun of an Academy Awards part"
13,Angela's Ashes,Frank McCourt,1,Frank McCourt,3,September,5,1996,452,"Nonfiction, Memoir, Biography, Classics, Ireland, Autobiography, Biography Memoir, History, Irish Literature, Historical","The Glass Castle by Jeannette Walls,, Tuesdays with Morrie by Mitch Albom,, Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia by Elizabeth Gilbert,, Wild: From Lost to Found on the Pacific Crest Trail by Cheryl Strayed,, Into the Wild by Jon Krakauer,, I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1) by Maya Angelou,, Night  (The Night Trilogy, #1) by Elie Wiesel,, Marley and Me: Life and Love With the World's Worst Dog by John Grogan,, Memoirs of a Geisha by Arthur Golden,, Running with Scissors by Augusten Burroughs,, A Child Called ""It"" (Dave Pelzer, #1) by Dave Pelzer,, The Help by Kathryn Stockett,, The Diary of a Young Girl by Anne Frank,, The Kite Runner by Khaled Hosseini,, Long Walk To Freedom (Volume 1: 1918-1962) by Nelson Mandela,, Unbroken: A World War II Story of Survival, Resilience and Redemption by Laura Hillenbrand,, Bonhoeffer: Pastor, Martyr, Prophet, Spy by Eric Metaxas,, The Immortal Life of Henrietta Lacks by Rebecca Skloot",4.13,587816,250262,208892,93540,23986,11136,13007,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348317139l/252577.jpg,"Imbued on every page with Frank McCourt's astounding humor and compassion. This is a glorious book that bears all the marks of a classic.""When I look back on my childhood I wonder how I managed to survive at all. It was, of course, a miserable childhood: the happy childhood is hardly worth your while. Worse than the ordinary miserable childhood is the miserable Irish child"
14,Millennium Approaches,Tony Kushner,1,Angels in America,2,February,13,1992,119,"Plays, Drama, Fiction, LGBT, Theatre, Queer, Classics, School, Fantasy, Read For School","The Normal Heart by Larry Kramer,, How I Learned to Drive by Paula Vogel,, Buried Child by Sam Shepard,, Proof by David Auburn,, Doubt, a Parable by John Patrick Shanley,, Ruined by Lynn Nottage,, Eurydice by Sarah Ruhl,, Crimes of the Heart by Beth Henley,, M. Butterfly by David Henry Hwang,, The Thanksgiving Play by Larissa FastHorse,, Top Girls by Caryl Churchill,, August: Osage County by Tracy Letts,, The Wolves by Sarah DeLappe,, The Boys in the Band by Mart Crowley,, Torch Song Trilogy by Harvey Fierstein,, The World Only Spins Forward: The Ascent of Angels in America by Isaac Butler,, Noises Off by Michael Frayn,, Machinal by Sophie Treadwell",4.24,22418,11756,6406,2801,889,566,450,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354209439l/92250.jpg,"Angels in America is a play in two parts by American playwright Tony Kushner.The play is a complex, often metaphorical, and at times symbolic examination of AIDS and homosexuality in America in the 1980s. Certain major and minor characters are supernatural beings (angels) or deceased persons (ghosts). The play contains multiple roles for several of the actors. Initially a"
15,Perestroika,Tony Kushner,2,Angels in America,2,,19,1993,158,"Plays, Drama, Theatre, LGBT, Fiction, Queer, Classics, Fantasy, Religion, Gay","The Normal Heart by Larry Kramer,, The Children's Hour by Lillian Hellman,, The World Only Spins Forward: The Ascent of Angels in America by Isaac Butler,, Top Girls by Caryl Churchill,, Why They Stay: Sex Scandals, Deals, and Hidden Agendas of Eight Political Wives by Anne  Michaud,, The Boys in the Band by Mart Crowley,, How I Learned to Drive by Paula Vogel,, August: Osage County by Tracy Letts,, True West by Sam Shepard,, The Last Days of Judas Iscariot by Stephen Adly Guirgis,, Proof by David Auburn,, The Iceman Cometh by Eugene O\'Neill,, Double Cross (Cross Your Heart and Die, #2) by Diane L. Kowalyshyn,, Machinal by Sophie Treadwell,, Rabbit Hole by David Lindsay-Abaire,, 'night, Mother by Marsha Norman,, M. Butterfly by David Henry Hwang,, Telling to Live: Latina Feminist Testimonios by Luz del Alba Acevedo",4.20,21557,11301,5743,2824,1000,689,243,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354209700l/92254.jpg,"The second half of Tony Kushner's Pulitzer Prize-winning epicAngels in America, Perestroikasteers the characters introduced inMillennium Approachesfrom the opportunistic eighties to a new sense of community in the nineties."
16,Anna Karenina,"Leo Tolstoy, Lev Tolstoj",,,,,18,1878,964,"Classics, Fiction, Romance, Russia, Historical Fiction, Russian Literature, Literature, Novels, 19th Century, Historical","Crime and Punishment by Fyodor Dostoevsky,, Wuthering Heights by Emily Brontë,, Jane Eyre by Charlotte Brontë,, The Brothers Karamazov by Fyodor Dostoevsky,, The Picture of Dorian Gray by Oscar Wilde,, Sense and Sensibility by Jane Austen,, Les Misérables by Victor Hugo,, Pride and Prejudice by Jane Austen,, Madame Bovary by Gustave Flaubert,, The Count of Monte Cristo by Alexandre Dumas,, Emma by Jane Austen,, Great Expectations by Charles Dickens,, The Little Prince by Antoine de Saint-Exupéry,, The Idiot by Fyodor Dostoevsky,, Lolita by Vladimir Nabokov,, Little Women by Louisa May Alcott,, The Old Man and the Sea by Ernest Hemingway,, The Metamorphosis by Franz Kafka",4.07,753605,319001,246452,130441,39218,18493,29139,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1601352433l/15823480._SY475_.jpg,"Acclaimed by many as the world's greatest novel,Anna Kareninaprovides a vast panorama of contemporary life in Russia and of humanity in general. In it Tolstoy uses his intense imaginative insight to create some of the most memorable characters in all of literature. Anna is a sophisticated woman who abandons her empty existence as the wife of Karenin and turns to Count Vr"
17,The Apocalyptics: Cancer And The Big Lie: How Environmental Politics Controls What We Know About Cancer,Edith Efron,,,,September,1,1985,,,,4.40,10,5,4,1,0,0,1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564581424l/1714258._SX318_.jpg,
18,The Archidamian War,Donald Kagan,2,The Peloponnesian War,5,January,1,1974,400,"History, Nonfiction, Classics, Ancient History, Greece, Military History, War, Military Fiction, Ancient","Babe: The Gallant Pig by Dick King-Smith,, Backlash: The Undeclared War Against American Women by Susan Faludi,, Sparta's First Attic War: The Grand Strategy of Classical Sparta, 478-446 B.C. by Paul Anthony Rahe,, Henry V by William Shakespeare,, Right (Cafe, #2) by Jana Aston,, Wrong (Cafe, #1) by Jana Aston,, The Bhagavad Gita by Krishna-Dwaipayana Vyasa,, Dorothy Must Die (Dorothy Must Die, #1) by Danielle  Paige,, King Leopold's Ghost by Adam Hochschild,, Wise Blood by Flannery O\'Connor,, Empire Falls by Richard Russo,, The Elementary Particles by Michel Houellebecq,, Acceptance by Jeff VanderMeer,, Titus Groan (Gormenghast, #1) by Mervyn Peake,, A Song for the Dark Times (Inspector Rebus #23) by Ian Rankin,, Pogingen iets van het leven te maken: Het geheime dagboek van Hendrik Groen, 83¼ jaar by Hendrik Groen,, Letters to Judy by Judy Blume,, King Henry IV, Part 1 by William Shakespeare",3.74,670,242,181,137,53,57,10,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387708256l/479740.jpg,"This book, the second volume in Donald Kagan's tetralogy about the Peloponnesian War, is a provocative and tightly argued history of the first ten years of the war. Taking a chronological approach that allows him to present at each stage the choices that were open to both sides in the conflict, Kagan focuses on political, economic, diplomatic, and military developments. He"
19,"The Armies of the Night: History as a Novel, the Novel as History",Norman Mailer,,,,,19,1968,304,"History, Nonfiction, Politics, Classics, Memoir, Literature, Journalism, American, War, American History","Dispatches by Michael Herr,, Memories of a Catholic Girlhood by Mary McCarthy,, Sleepless Nights by Elizabeth Hardwick,, Falconer by John Cheever,, The Gay Talese Reader: Portraits and Encounters by Gay Talese,, The Emperor: Downfall of An Autocrat by Ryszard Kapuściński,, A Russian Beauty and Other Stories by Vladimir Nabokov,, Picture by Lillian Ross,, The Crying of Lot 49 by Thomas Pynchon,, The Continental Op by Dashiell Hammett,, Uncanny Valley: A Memoir by Anna Wiener,, Players by Don DeLillo,, The Curse of Lono by Hunter S. Thompson,, A High Wind in Jamaica by Richard Hughes,, The Great Shark Hunt: Strange Tales from a Strange Time (The Gonzo Papers, #1) by Hunter S. Thompson,, The Painted Word by Tom Wolfe,, La educación de Henry Adams by Henry Adams,, The Big Money (U.S.A., #3) by John Dos Passos",3.64,3017,709,1072,795,315,126,260,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541870641l/12474._SY475_.jpg,"Winner of the Pulitzer Prize and the National Book AwardFifty years after the March on the Pentagon, Norman Mailer’s seminal tour de force remains as urgent and incisive as ever. Winner of America’s two highest literary awards, The Armies of the Night uniquely and unforgettably captures the Sixties’ tidal wave of love and rage at its crest and a towering genius at his peak"
